#options: 1080x1920 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=798 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:76 out:77 type:b dur:2 cpbdur:2 q:47.68 aq:45.26 tex:1702 mv:3942 misc:2148 imb:76 pmb:446 smb:7638 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:47.60 aq:43.38 tex:6024 mv:7242 misc:4110 imb:686 pmb:429 smb:7045 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:47.54 aq:43.68 tex:6837 mv:7642 misc:4337 imb:752 pmb:445 smb:6963 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:47.58 aq:43.38 tex:7383 mv:8115 misc:4542 imb:890 pmb:437 smb:6833 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:47.58 aq:43.90 tex:6848 mv:7298 misc:4310 imb:738 pmb:395 smb:7027 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:47.50 aq:43.12 tex:7983 mv:8961 misc:4936 imb:970 pmb:482 smb:6708 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:47.43 aq:43.64 tex:7112 mv:7939 misc:4557 imb:810 pmb:431 smb:6919 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:47.46 aq:42.81 tex:7340 mv:8871 misc:5077 imb:955 pmb:463 smb:6742 d:- ref:0 w:0,1,-1,6,63,2,64,0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:47.43 aq:43.81 tex:5601 mv:7164 misc:3939 imb:540 pmb:442 smb:7178 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:47.29 aq:42.46 tex:9100 mv:9669 misc:5439 imb:1046 pmb:488 smb:6626 d:- ref:0 w:0,1,-2,6,63,2,64,0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:47.21 aq:42.90 tex:6406 mv:7552 misc:4474 imb:678 pmb:465 smb:7017 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:47.11 aq:42.31 tex:6561 mv:8045 misc:4890 imb:770 pmb:477 smb:6913 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:46.99 aq:42.82 tex:6217 mv:7184 misc:4431 imb:659 pmb:453 smb:7048 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:46.90 aq:42.08 tex:7924 mv:8465 misc:5051 imb:839 pmb:502 smb:6819 d:- ref:0 w:0,1,-1,6,63,2,64,0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:46.84 aq:42.47 tex:5504 mv:6626 misc:4182 imb:535 pmb:452 smb:7173 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:46.78 aq:42.08 tex:7408 mv:8051 misc:4821 imb:744 pmb:504 smb:6912 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:46.72 aq:42.38 tex:6269 mv:6989 misc:4390 imb:578 pmb:490 smb:7092 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:46.68 aq:41.59 tex:8386 mv:8552 misc:5006 imb:805 pmb:524 smb:6831 d:- ref:0 w:0,1,-1 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:46.65 aq:41.65 tex:7072 mv:7426 misc:4606 imb:673 pmb:480 smb:7007 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:46.60 aq:41.82 tex:6977 mv:7582 misc:4505 imb:653 pmb:487 smb:7020 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:46.55 aq:42.16 tex:7237 mv:7056 misc:4475 imb:678 pmb:448 smb:7034 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:46.51 aq:41.60 tex:8077 mv:8465 misc:5034 imb:790 pmb:517 smb:6853 d:- ref:0 w:0,1,-1 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:46.49 aq:41.45 tex:6833 mv:7746 misc:4453 imb:636 pmb:489 smb:7035 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:46.43 aq:41.77 tex:7428 mv:7178 misc:4418 imb:629 pmb:476 smb:7055 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:46.38 aq:41.87 tex:7394 mv:7347 misc:4467 imb:627 pmb:481 smb:7052 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:46.34 aq:41.24 tex:8608 mv:9002 misc:5038 imb:856 pmb:536 smb:6768 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:46.29 aq:41.25 tex:8591 mv:7850 misc:4895 imb:745 pmb:478 smb:6937 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:46.25 aq:41.60 tex:8344 mv:7882 misc:4766 imb:699 pmb:491 smb:6970 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:46.19 aq:41.56 tex:8675 mv:8119 misc:4798 imb:724 pmb:527 smb:6909 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:46.15 aq:41.00 tex:8762 mv:8141 misc:4921 imb:746 pmb:534 smb:6880 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:46.11 aq:41.03 tex:8162 mv:8216 misc:4798 imb:725 pmb:538 smb:6897 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:46.07 aq:41.28 tex:8306 mv:7950 misc:4824 imb:682 pmb:533 smb:6945 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:46.02 aq:41.38 tex:8478 mv:7865 misc:4801 imb:675 pmb:546 smb:6939 d:- ref:0 ;
in:110 out:110 type:P dur:2 cpbdur:2 q:45.97 aq:40.86 tex:9905 mv:8425 misc:4966 imb:808 pmb:528 smb:6824 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:45.94 aq:40.79 tex:8322 mv:7100 misc:4666 imb:683 pmb:474 smb:7003 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:45.90 aq:40.91 tex:7987 mv:6996 misc:4609 imb:666 pmb:466 smb:7028 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:45.85 aq:40.79 tex:9707 mv:8446 misc:4935 imb:737 pmb:578 smb:6845 d:- ref:0 ;
